"year","city","sport","discipline","athlete","country","gender","event","medal"
1996,"Atlanta","Football","Football","GUIARO RONALDO","BRA","Men","Football","Bronze"
1996,"Atlanta","Football","Football","JUNINHO","BRA","Men","Football","Bronze"
1996,"Atlanta","Football","Football","LUIZAO","BRA","Men","Football","Bronze"
1996,"Atlanta","Football","Football","MARCELINHO PAULISTA","BRA","Men","Football","Bronze"
1996,"Atlanta","Football","Football","NARCISO","BRA","Men","Football","Bronze"
1996,"Atlanta","Football","Football","RIVALDO","BRA","Men","Football","Bronze"
1996,"Atlanta","Football","Football","ROBERTO CARLOS","BRA","Men","Football","Bronze"
1996,"Atlanta","Football","Football","RONALDO Ronaldo Luis Nazario de LIMA","BRA","Men","Football","Bronze"
1996,"Atlanta","Football","Football","SAVIO","BRA","Men","Football","Bronze"
1996,"Atlanta","Football","Football","ZE ELIAS","BRA","Men","Football","Bronze"
1996,"Atlanta","Football","Football","ZE MARIA","BRA","Men","Football","Bronze"
1996,"Atlanta","Football","Football","AMOKACHI Daniel","NGR","Men","Football","Gold"
1996,"Atlanta","Football","Football","AMUNIKE Emmanuel","NGR","Men","Football","Gold"
1996,"Atlanta","Football","Football","BABANGIDA Tijani","NGR","Men","Football","Gold"
1996,"Atlanta","Football","Football","BABAYARO Celestine","NGR","Men","Football","Gold"
1996,"Atlanta","Football","Football","BABAYARO Emmanuel","NGR","Men","Football","Gold"
1996,"Atlanta","Football","Football","DOSU Joseph","NGR","Men","Football","Gold"
1996,"Atlanta","Football","Football","FATUSI Teslim","NGR","Men","Football","Gold"
1996,"Atlanta","Football","Football","IKPEBA Victor","NGR","Men","Football","Gold"
1996,"Atlanta","Football","Football","KANU Nwankwo","NGR","Men","Football","Gold"
1996,"Atlanta","Football","Football","LAWAL Garba","NGR","Men","Football","Gold"
1996,"Atlanta","Football","Football","OBAFEMI Abiodon","NGR","Men","Football","Gold"
1996,"Atlanta","Football","Football","OBARAKU Mobi","NGR","Men","Football","Gold"
1996,"Atlanta","Football","Football","OBIEKWU Kingsley","NGR","Men","Football","Gold"
1996,"Atlanta","Football","Football","OKOCHA Augustine","NGR","Men","Football","Gold"
1996,"Atlanta","Football","Football","OLISEH Sunday","NGR","Men","Football","Gold"
1996,"Atlanta","Football","Football","ORUMA Wilson","NGR","Men","Football","Gold"
1996,"Atlanta","Football","Football","UCHE Okechukwu","NGR","Men","Football","Gold"
1996,"Atlanta","Football","Football","WEST Taribo","NGR","Men","Football","Gold"
1996,"Atlanta","Football","Football","ALMEYDA Matias","ARG","Men","Football","Silver"
1996,"Atlanta","Football","Football","AYALA Roberto","ARG","Men","Football","Silver"
