"year","city","sport","discipline","athlete","country","gender","event","medal"
2000,"Sydney","Handball","Handball","HUNDVIN Mia","NOR","Women","Handball","Bronze"
2000,"Sydney","Handball","Handball","LARSEN Tonje","NOR","Women","Handball","Bronze"
2000,"Sydney","Handball","Handball","LEGANGER Cecilie","NOR","Women","Handball","Bronze"
2000,"Sydney","Handball","Handball","NILSEN Jeanette","NOR","Women","Handball","Bronze"
2000,"Sydney","Handball","Handball","ROKNE Marianne","NOR","Women","Handball","Bronze"
2000,"Sydney","Handball","Handball","SAETTEM Birgitte","NOR","Women","Handball","Bronze"
2000,"Sydney","Handball","Handball","SANDVE Monica","NOR","Women","Handball","Bronze"
2000,"Sydney","Handball","Handball","SOERLIE Else-Marthe","NOR","Women","Handball","Bronze"
2000,"Sydney","Handball","Handball","TJUGUM Heidi Maire","NOR","Women","Handball","Bronze"
2000,"Sydney","Handball","Handball","ANDERSEN Camilla","DEN","Women","Handball","Gold"
2000,"Sydney","Handball","Handball","BOTTZAU Tina","DEN","Women","Handball","Gold"
2000,"Sydney","Handball","Handball","BRODSGAARD Karen","DEN","Women","Handball","Gold"
2000,"Sydney","Handball","Handball","FRUELUND Katrine","DEN","Women","Handball","Gold"
2000,"Sydney","Handball","Handball","GRONBEK Maja","DEN","Women","Handball","Gold"
2000,"Sydney","Handball","Handball","HANSEN Christina Roslyng","DEN","Women","Handball","Gold"
2000,"Sydney","Handball","Handball","HOFFMAN Anette","DEN","Women","Handball","Gold"
2000,"Sydney","Handball","Handball","KIAERSKOU Lotte","DEN","Women","Handball","Gold"
2000,"Sydney","Handball","Handball","KJAERGAARD Tonje","DEN","Women","Handball","Gold"
2000,"Sydney","Handball","Handball","KOLLING Janne","DEN","Women","Handball","Gold"
2000,"Sydney","Handball","Handball","MORTENSEN Karin","DEN","Women","Handball","Gold"
2000,"Sydney","Handball","Handball","NIELSEN Anja","DEN","Women","Handball","Gold"
2000,"Sydney","Handball","Handball","PETERSEN Rikke","DEN","Women","Handball","Gold"
2000,"Sydney","Handball","Handball","RANTALA Lene","DEN","Women","Handball","Gold"
2000,"Sydney","Handball","Handball","VESTERGAARD LARSEN Mette","DEN","Women","Handball","Gold"
2000,"Sydney","Handball","Handball","BALOGH Beatrix","HUN","Women","Handball","Silver"
2000,"Sydney","Handball","Handball","DELI Rita","HUN","Women","Handball","Silver"
2000,"Sydney","Handball","Handball","FARKAS Agnes","HUN","Women","Handball","Silver"
2000,"Sydney","Handball","Handball","FARKAS Andrea","HUN","Women","Handball","Silver"
2000,"Sydney","Handball","Handball","KANTOR Aniko","HUN","Women","Handball","Silver"
2000,"Sydney","Handball","Handball","KOKENY Beatrix","HUN","Women","Handball","Silver"
2000,"Sydney","Handball","Handball","KULCSAR Anita","HUN","Women","Handball","Silver"
2000,"Sydney","Handball","Handball","LOWY Dora","HUN","Women","Handball","Silver"
2000,"Sydney","Handball","Handball","NAGY Aniko","HUN","Women","Handball","Silver"
