"year","city","sport","discipline","athlete","country","gender","event","medal"
1984,"Los Angeles","Rowing","Rowing","HERLAND Douglas John","USA","Men","Pair-Oared Shell With Coxswain (2+)","Bronze"
1984,"Los Angeles","Rowing","Rowing","STILL Kevin Raymond","USA","Men","Pair-Oared Shell With Coxswain (2+)","Bronze"
1984,"Los Angeles","Rowing","Rowing","ABBAGNALE Carmine","ITA","Men","Pair-Oared Shell With Coxswain (2+)","Gold"
1984,"Los Angeles","Rowing","Rowing","ABBAGNALE Giuseppe","ITA","Men","Pair-Oared Shell With Coxswain (2+)","Gold"
1984,"Los Angeles","Rowing","Rowing","DI CAPUA Giuseppe","ITA","Men","Pair-Oared Shell With Coxswain (2+)","Gold"
1984,"Los Angeles","Rowing","Rowing","POPESCU Dimitrie","ROU","Men","Pair-Oared Shell With Coxswain (2+)","Silver"
1984,"Los Angeles","Rowing","Rowing","RADUCANU Dumitru","ROU","Men","Pair-Oared Shell With Coxswain (2+)","Silver"
1984,"Los Angeles","Rowing","Rowing","TOMOIAGA Vasile","ROU","Men","Pair-Oared Shell With Coxswain (2+)","Silver"
1984,"Los Angeles","Rowing","Rowing","ERIKSEN Hanne Mandsfeldt","DEN","Women","Quadruple Sculls With Coxswain (4X)","Bronze"
1984,"Los Angeles","Rowing","Rowing","HANEL Birgitte","DEN","Women","Quadruple Sculls With Coxswain (4X)","Bronze"
1984,"Los Angeles","Rowing","Rowing","KOEFOED Inger Charlotte","DEN","Women","Quadruple Sculls With Coxswain (4X)","Bronze"
1984,"Los Angeles","Rowing","Rowing","RASMUSSEN Bodil Steen","DEN","Women","Quadruple Sculls With Coxswain (4X)","Bronze"
1984,"Los Angeles","Rowing","Rowing","SORENSEN Jette Hejli","DEN","Women","Quadruple Sculls With Coxswain (4X)","Bronze"
1984,"Los Angeles","Rowing","Rowing","BADEA Ioana","ROU","Women","Quadruple Sculls With Coxswain (4X)","Gold"
1984,"Los Angeles","Rowing","Rowing","CORBAN Sofia","ROU","Women","Quadruple Sculls With Coxswain (4X)","Gold"
1984,"Los Angeles","Rowing","Rowing","OANCIA Ecaterina","ROU","Women","Quadruple Sculls With Coxswain (4X)","Gold"
1984,"Los Angeles","Rowing","Rowing","SOROHAN-MINEA Anisoara","ROU","Women","Quadruple Sculls With Coxswain (4X)","Gold"
1984,"Los Angeles","Rowing","Rowing","TARAN Titie","ROU","Women","Quadruple Sculls With Coxswain (4X)","Gold"
1984,"Los Angeles","Rowing","Rowing","GILDER Virginia Marie","USA","Women","Quadruple Sculls With Coxswain (4X)","Silver"
1984,"Los Angeles","Rowing","Rowing","LIND Joan Louise","USA","Women","Quadruple Sculls With Coxswain (4X)","Silver"
1984,"Los Angeles","Rowing","Rowing","MARDEN Anne R.","USA","Women","Quadruple Sculls With Coxswain (4X)","Silver"
1984,"Los Angeles","Rowing","Rowing","RICKON Kelly Anne","USA","Women","Quadruple Sculls With Coxswain (4X)","Silver"
1984,"Los Angeles","Rowing","Rowing","ROHDE Lisa Diane","USA","Women","Quadruple Sculls With Coxswain (4X)","Silver"
1984,"Los Angeles","Rowing","Rowing","FORD Bruce","CAN","Men","Quadruple Sculls Without Coxswain (4X)","Bronze"
1984,"Los Angeles","Rowing","Rowing","HAMILTON Douglas","CAN","Men","Quadruple Sculls Without Coxswain (4X)","Bronze"
1984,"Los Angeles","Rowing","Rowing","HUGHES Michael","CAN","Men","Quadruple Sculls Without Coxswain (4X)","Bronze"
1984,"Los Angeles","Rowing","Rowing","MONCKTON Philip","CAN","Men","Quadruple Sculls Without Coxswain (4X)","Bronze"
1984,"Los Angeles","Rowing","Rowing","DURSCH Michael","FRG","Men","Quadruple Sculls Without Coxswain (4X)","Gold"
1984,"Los Angeles","Rowing","Rowing","HEDDERICH Albert","FRG","Men","Quadruple Sculls Without Coxswain (4X)","Gold"
1984,"Los Angeles","Rowing","Rowing","HORMANN Raimund","FRG","Men","Quadruple Sculls Without Coxswain (4X)","Gold"
1984,"Los Angeles","Rowing","Rowing","WIEDENMANN Dieter","FRG","Men","Quadruple Sculls Without Coxswain (4X)","Gold"
1984,"Los Angeles","Rowing","Rowing","GULLOCK Gary","AUS","Men","Quadruple Sculls Without Coxswain (4X)","Silver"
1984,"Los Angeles","Rowing","Rowing","LOVRICH Anthony","AUS","Men","Quadruple Sculls Without Coxswain (4X)","Silver"
1984,"Los Angeles","Rowing","Rowing","MCLAREN Timothy","AUS","Men","Quadruple Sculls Without Coxswain (4X)","Silver"
1984,"Los Angeles","Rowing","Rowing","REEDY Paul","AUS","Men","Quadruple Sculls Without Coxswain (4X)","Silver"
1984,"Los Angeles","Rowing","Rowing","MILLS Robert","CAN","Men","Single Sculls (1X)","Bronze"
1984,"Los Angeles","Rowing","Rowing","KARPPINEN Pertti","FIN","Men","Single Sculls (1X)","Gold"
1984,"Los Angeles","Rowing","Rowing","KOLBE Peter-Michael","FRG","Men","Single Sculls (1X)","Silver"
1984,"Los Angeles","Rowing","Rowing","HAESEBROUCK Ann","BEL","Women","Single Sculls (1X)","Bronze"
1984,"Los Angeles","Rowing","Rowing","ROSCA-RASILA Valeria","ROU","Women","Single Sculls (1X)","Gold"
1984,"Los Angeles","Rowing","Rowing","GEER Charlotte Mosher","USA","Women","Single Sculls (1X)","Silver"
1984,"Los Angeles","Sailing","Sailing","PEPONNET Thierry","FRA","Men","470 - Two Person Dinghy","Bronze"
1984,"Los Angeles","Sailing","Sailing","PILLOT Luc","FRA","Men","470 - Two Person Dinghy","Bronze"
1984,"Los Angeles","Sailing","Sailing","DORESTE Luis","ESP","Men","470 - Two Person Dinghy","Gold"
1984,"Los Angeles","Sailing","Sailing","MOLINA CARRASCO Roberto","ESP","Men","470 - Two Person Dinghy","Gold"
1984,"Los Angeles","Sailing","Sailing","BENJAMIN Stephen Delancey","USA","Men","470 - Two Person Dinghy","Silver"
1984,"Los Angeles","Sailing","Sailing","STEINFELD Hans Christopher","USA","Men","470 - Two Person Dinghy","Silver"
1984,"Los Angeles","Sailing","Sailing","KENDALL Anthony Bruce","NZL","Men","Board (Windglider)","Bronze"
1984,"Los Angeles","Sailing","Sailing","VAN DEN BERG Stephan","NED","Men","Board (Windglider)","Gold"
1984,"Los Angeles","Sailing","Sailing","STEELE Randal Scott","USA","Men","Board (Windglider)","Silver"
1984,"Los Angeles","Sailing","Sailing","CALDER Stephen","CAN","Men","Fleet/Match Race Keelboat Open (Soling)","Bronze"
1984,"Los Angeles","Sailing","Sailing","FOGH Hans Marius","CAN","Men","Fleet/Match Race Keelboat Open (Soling)","Bronze"
1984,"Los Angeles","Sailing","Sailing","KERR John","CAN","Men","Fleet/Match Race Keelboat Open (Soling)","Bronze"
1984,"Los Angeles","Sailing","Sailing","DAVIS Roderick Hopkins","USA","Men","Fleet/Match Race Keelboat Open (Soling)","Gold"
1984,"Los Angeles","Sailing","Sailing","HAINES Robert Bentley Jr.","USA","Men","Fleet/Match Race Keelboat Open (Soling)","Gold"
1984,"Los Angeles","Sailing","Sailing","TREVELYAN Edward","USA","Men","Fleet/Match Race Keelboat Open (Soling)","Gold"
1984,"Los Angeles","Sailing","Sailing","ADLER Daniel","BRA","Men","Fleet/Match Race Keelboat Open (Soling)","Silver"
1984,"Los Angeles","Sailing","Sailing","GRAEL Torben","BRA","Men","Fleet/Match Race Keelboat Open (Soling)","Silver"
1984,"Los Angeles","Sailing","Sailing","SENFFT Ronaldo","BRA","Men","Fleet/Match Race Keelboat Open (Soling)","Silver"
1984,"Los Angeles","Sailing","Sailing","ALLAM Peter Frank","GBR","Men","Flying Dutchman","Bronze"
1984,"Los Angeles","Sailing","Sailing","RICHARDS Jonathan","GBR","Men","Flying Dutchman","Bronze"
1984,"Los Angeles","Sailing","Sailing","BUCHAN William Carl Jr.","USA","Men","Flying Dutchman","Gold"
1984,"Los Angeles","Sailing","Sailing","MCKEE Jonathan Dunn","USA","Men","Flying Dutchman","Gold"
1984,"Los Angeles","Sailing","Sailing","BASTET Evert","CAN","Men","Flying Dutchman","Silver"
1984,"Los Angeles","Sailing","Sailing","MCLAUGHLIN Terence","CAN","Men","Flying Dutchman","Silver"
1984,"Los Angeles","Sailing","Sailing","NEILSON Terence","CAN","Men","Single-Handed Dinghy (Finn)","Bronze"
1984,"Los Angeles","Sailing","Sailing","COUTTS Russell","NZL","Men","Single-Handed Dinghy (Finn)","Gold"
1984,"Los Angeles","Sailing","Sailing","BERTRAND John Joseph","USA","Men","Single-Handed Dinghy (Finn)","Silver"
1984,"Los Angeles","Sailing","Sailing","ANDERSON John Scott","AUS","Men","Tornado - Multihull","Bronze"
1984,"Los Angeles","Sailing","Sailing","CAIRNS Christopher","AUS","Men","Tornado - Multihull","Bronze"
1984,"Los Angeles","Sailing","Sailing","SELLERS Rex Samuel","NZL","Men","Tornado - Multihull","Gold"
1984,"Los Angeles","Sailing","Sailing","TIMMS Christopher","NZL","Men","Tornado - Multihull","Gold"
