"year","city","sport","discipline","athlete","country","gender","event","medal"
1964,"Tokyo","Cycling","Cycling Track","RONCAGLIA Luigi","ITA","Men","Team Pursuit (4000M)","Silver"
1964,"Tokyo","Cycling","Cycling Track","TESTA Franco","ITA","Men","Team Pursuit (4000M)","Silver"
1964,"Tokyo","Equestrian","Dressage","FILATOV Sergei","URS","Men","Individual","Bronze"
1964,"Tokyo","Equestrian","Dressage","CHAMMARTIN Henri","SUI","Men","Individual","Gold"
1964,"Tokyo","Equestrian","Dressage","BOLDT Harry","EUA","Men","Individual","Silver"
1964,"Tokyo","Equestrian","Dressage","FILATOV Sergei","URS","Men","Team","Bronze"
1964,"Tokyo","Equestrian","Dressage","KALITA Ivan","URS","Men","Team","Bronze"
1964,"Tokyo","Equestrian","Dressage","KIZIMOV Ivan","URS","Men","Team","Bronze"
1964,"Tokyo","Equestrian","Dressage","BOLDT Harry","EUA","Men","Team","Gold"
1964,"Tokyo","Equestrian","Dressage","KLIMKE Reiner","EUA","Men","Team","Gold"
1964,"Tokyo","Equestrian","Dressage","NECKERMANN Josef","EUA","Men","Team","Gold"
1964,"Tokyo","Equestrian","Dressage","CHAMMARTIN Henri","SUI","Men","Team","Silver"
1964,"Tokyo","Equestrian","Dressage","FISCHER Gustav","SUI","Men","Team","Silver"
1964,"Tokyo","Equestrian","Dressage","GOSSWEILER Marianne","SUI","Women","Team","Silver"
1964,"Tokyo","Equestrian","Eventing","LIGGES Fritz","EUA","Men","Individual","Bronze"
1964,"Tokyo","Equestrian","Eventing","CHECCOLI Mauro","ITA","Men","Individual","Gold"
1964,"Tokyo","Equestrian","Eventing","MORATORIO Carlos Alberto","ARG","Men","Individual","Silver"
1964,"Tokyo","Equestrian","Eventing","KARSTEN Horst","EUA","Men","Team","Bronze"
1964,"Tokyo","Equestrian","Eventing","LIGGES Fritz","EUA","Men","Team","Bronze"
1964,"Tokyo","Equestrian","Eventing","SCHULZ Gerhard","EUA","Men","Team","Bronze"
1964,"Tokyo","Equestrian","Eventing","ANGIONI Paolo","ITA","Men","Team","Gold"
1964,"Tokyo","Equestrian","Eventing","CHECCOLI Mauro","ITA","Men","Team","Gold"
1964,"Tokyo","Equestrian","Eventing","RAVANO Giuseppe","ITA","Men","Team","Gold"
