"payment_id","customer_id","staff_id","rental_id","amount","payment_date"
3334,123,1,15621,1.99,"2005-08-23T07:13:43.000Z"
3335,123,2,15787,2.99,"2005-08-23T13:51:57.000Z"
3336,124,1,775,0.99,"2005-05-29T13:23:26.000Z"
3337,124,2,1039,4.99,"2005-05-31T05:32:29.000Z"
3338,124,2,1057,3.99,"2005-05-31T07:58:06.000Z"
3339,124,2,1130,5.99,"2005-05-31T18:13:57.000Z"
3340,124,2,2336,1.99,"2005-06-18T11:00:05.000Z"
3341,124,1,4341,7.99,"2005-07-07T18:44:23.000Z"
3342,124,2,4709,2.99,"2005-07-08T12:04:34.000Z"
3343,124,1,5566,2.99,"2005-07-10T03:30:17.000Z"
3344,124,1,6411,2.99,"2005-07-11T23:10:50.000Z"
3345,124,1,7519,6.99,"2005-07-27T21:01:41.000Z"
3346,124,2,7700,8.99,"2005-07-28T03:54:14.000Z"
3347,124,2,8524,0.99,"2005-07-29T10:20:07.000Z"
3348,124,1,9986,3.99,"2005-07-31T17:16:50.000Z"
3349,124,2,11493,5.99,"2005-08-02T22:47:00.000Z"
3350,124,1,12835,4.99,"2005-08-19T01:47:45.000Z"
3351,124,2,14737,0.99,"2005-08-21T22:27:11.000Z"
3352,124,2,15266,4.99,"2005-08-22T18:37:24.000Z"
3353,124,2,16023,0.99,"2005-08-23T21:45:02.000Z"
3354,125,2,185,3.99,"2005-05-26T05:30:03.000Z"
3355,125,1,1481,2.99,"2005-06-15T21:17:58.000Z"
3356,125,1,2355,3.99,"2005-06-18T12:57:06.000Z"
3357,125,1,2826,7.99,"2005-06-19T20:41:35.000Z"
3358,125,1,3118,4.99,"2005-06-20T18:05:57.000Z"
3359,125,1,3617,4.99,"2005-07-06T05:58:06.000Z"
3360,125,1,5200,2.99,"2005-07-09T10:52:09.000Z"
3361,125,2,5523,7.99,"2005-07-10T01:47:55.000Z"
3362,125,1,6055,0.99,"2005-07-11T03:59:08.000Z"
3363,125,2,6268,6.99,"2005-07-11T15:55:34.000Z"
3364,125,1,7323,4.99,"2005-07-27T13:39:40.000Z"
3365,125,2,7879,0.99,"2005-07-28T10:27:46.000Z"
3366,125,2,7922,0.99,"2005-07-28T12:05:25.000Z"
3367,125,2,8375,2.99,"2005-07-29T05:25:30.000Z"
3368,125,1,8433,2.99,"2005-07-29T07:19:16.000Z"
3369,125,1,8832,4.99,"2005-07-29T22:37:49.000Z"
3370,125,1,9129,9.99,"2005-07-30T09:51:21.000Z"
3371,125,1,9496,4.99,"2005-07-30T23:55:20.000Z"
3372,125,2,9504,0.99,"2005-07-31T00:09:07.000Z"
3373,125,1,9722,4.99,"2005-07-31T08:29:48.000Z"
3374,125,2,9734,2.99,"2005-07-31T08:57:45.000Z"
3375,125,1,10583,2.99,"2005-08-01T13:54:35.000Z"
3376,125,1,10699,2.99,"2005-08-01T18:24:51.000Z"
3377,125,2,11279,7.99,"2005-08-02T14:30:03.000Z"
3378,125,1,11806,4.99,"2005-08-17T11:49:28.000Z"
3379,125,1,11832,4.99,"2005-08-17T12:55:31.000Z"
3380,125,1,11999,0.99,"2005-08-17T18:47:07.000Z"
3381,125,1,12075,4.99,"2005-08-17T21:54:55.000Z"
3382,125,2,12262,2.99,"2005-08-18T04:16:15.000Z"
3383,125,2,13441,6.99,"2005-08-19T23:48:23.000Z"
3384,125,2,14456,2.99,"2005-08-21T12:38:09.000Z"
3385,125,1,15055,2.99,"2005-08-22T10:14:39.000Z"
3386,126,1,9,4.99,"2005-05-25T00:00:40.000Z"
3387,126,1,752,4.99,"2005-05-29T10:14:15.000Z"
3388,126,2,1054,4.99,"2005-05-31T07:33:25.000Z"
3389,126,1,3450,2.99,"2005-06-21T21:01:57.000Z"
3390,126,2,3502,5.99,"2005-07-06T00:15:06.000Z"
3391,126,1,3725,4.99,"2005-07-06T11:15:04.000Z"
