"payment_id","customer_id","staff_id","rental_id","amount","payment_date"
10000,370,2,1190,6.99,"2005-06-15T01:05:32.000Z"
10001,370,2,4400,7.99,"2005-07-07T21:22:26.000Z"
10002,370,2,6714,0.99,"2005-07-12T13:29:06.000Z"
10003,370,1,6968,0.99,"2005-07-27T00:16:45.000Z"
10004,370,2,7152,7.99,"2005-07-27T07:15:01.000Z"
10005,370,1,7226,6.99,"2005-07-27T09:47:53.000Z"
10006,370,2,7797,0.99,"2005-07-28T07:41:07.000Z"
10007,370,2,8258,0.99,"2005-07-29T01:03:42.000Z"
10008,370,2,10095,0.99,"2005-07-31T20:38:35.000Z"
10009,370,1,10336,4.99,"2005-08-01T04:59:53.000Z"
10010,370,1,11540,1.99,"2005-08-17T00:48:03.000Z"
10011,370,2,11925,0.99,"2005-08-17T16:23:04.000Z"
10012,370,1,12339,4.99,"2005-08-18T07:05:06.000Z"
10013,370,1,13039,0.99,"2005-08-19T08:55:19.000Z"
10014,370,1,14602,3.99,"2005-08-21T17:48:49.000Z"
10015,370,2,14786,2.99,"2005-08-22T00:24:42.000Z"
10016,370,2,15368,3.99,"2005-08-22T21:57:15.000Z"
10017,370,1,15626,4.99,"2005-08-23T07:25:34.000Z"
10018,370,1,15982,5.99,"2005-08-23T20:13:31.000Z"
10019,371,1,26,3.99,"2005-05-25T03:36:50.000Z"
10020,371,2,286,6.99,"2005-05-26T19:44:51.000Z"
10021,371,2,381,4.99,"2005-05-27T09:43:25.000Z"
10022,371,1,384,5.99,"2005-05-27T10:18:20.000Z"
10023,371,1,825,0.99,"2005-05-29T21:49:41.000Z"
10024,371,1,829,2.99,"2005-05-29T22:16:42.000Z"
10025,371,2,1212,2.99,"2005-06-15T03:03:33.000Z"
10026,371,1,1218,1.99,"2005-06-15T03:24:44.000Z"
10027,371,1,1573,6.99,"2005-06-16T03:31:39.000Z"
10028,371,2,1675,5.99,"2005-06-16T11:04:47.000Z"
10029,371,2,2837,0.99,"2005-06-19T22:03:50.000Z"
10030,371,1,3176,3.99,"2005-06-20T22:31:54.000Z"
10031,371,2,3396,0.99,"2005-06-21T15:23:08.000Z"
10032,371,2,4115,8.99,"2005-07-07T06:52:23.000Z"
10033,371,1,4612,1.99,"2005-07-08T07:40:44.000Z"
10034,371,1,5171,4.99,"2005-07-09T09:26:55.000Z"
10035,371,2,5614,0.99,"2005-07-10T05:16:56.000Z"
10036,371,1,6000,2.99,"2005-07-11T01:23:06.000Z"
10037,371,1,6460,1.99,"2005-07-12T01:13:44.000Z"
10038,371,1,6922,0.99,"2005-07-12T22:39:48.000Z"
10039,371,1,7408,3.99,"2005-07-27T16:31:40.000Z"
10040,371,1,8138,4.99,"2005-07-28T20:12:17.000Z"
10041,371,1,9008,4.99,"2005-07-30T05:10:26.000Z"
10042,371,1,9117,8.99,"2005-07-30T09:20:59.000Z"
10043,371,1,9635,0.99,"2005-07-31T05:12:27.000Z"
10044,371,1,11086,10.99,"2005-08-02T07:38:44.000Z"
10045,371,2,12397,9.99,"2005-08-18T09:12:52.000Z"
10046,371,2,12584,7.99,"2005-08-18T15:51:36.000Z"
10047,371,1,13028,2.99,"2005-08-19T08:27:23.000Z"
10048,371,2,13143,3.99,"2005-08-19T12:44:38.000Z"
10049,371,1,13191,4.99,"2005-08-19T14:28:48.000Z"
