"payment_id","customer_id","staff_id","rental_id","amount","payment_date"
6667,246,2,5347,0.99,"2005-07-09T17:31:32.000Z"
6668,246,1,6688,4.99,"2005-07-12T12:22:12.000Z"
6669,246,2,9525,5.99,"2005-07-31T01:02:18.000Z"
6670,246,2,10208,4.99,"2005-08-01T00:54:51.000Z"
6671,246,2,10683,2.99,"2005-08-01T17:33:03.000Z"
6672,246,2,13418,5.99,"2005-08-19T22:53:56.000Z"
6673,246,1,13750,6.99,"2005-08-20T11:11:42.000Z"
6674,246,1,13987,4.99,"2005-08-20T19:19:30.000Z"
6675,246,1,14360,6.99,"2005-08-21T09:16:40.000Z"
6676,246,1,15746,2.99,"2005-08-23T12:26:19.000Z"
6677,247,1,189,4.99,"2005-05-26T06:01:41.000Z"
6678,247,2,448,3.99,"2005-05-27T19:03:08.000Z"
6679,247,1,450,6.99,"2005-05-27T19:18:54.000Z"
6680,247,1,2288,5.99,"2005-06-18T07:23:17.000Z"
6681,247,2,3955,2.99,"2005-07-06T21:58:08.000Z"
6682,247,2,4198,6.99,"2005-07-07T11:08:11.000Z"
6683,247,1,4492,2.99,"2005-07-08T01:32:04.000Z"
6684,247,2,4995,2.99,"2005-07-09T00:57:46.000Z"
6685,247,1,5328,6.99,"2005-07-09T16:48:29.000Z"
6686,247,1,5842,4.99,"2005-07-10T17:11:37.000Z"
6687,247,1,7963,5.99,"2005-07-28T13:48:38.000Z"
6688,247,1,10279,1.99,"2005-08-01T03:26:44.000Z"
6689,247,1,10410,6.99,"2005-08-01T07:53:29.000Z"
6690,247,2,11204,2.99,"2005-08-02T11:56:31.000Z"
6691,247,2,11306,2.99,"2005-08-02T15:45:10.000Z"
6692,247,1,11495,0.99,"2005-08-16T22:51:20.000Z"
6693,247,2,12265,4.99,"2005-08-18T04:22:01.000Z"
6694,247,1,12482,7.99,"2005-08-18T12:37:36.000Z"
6695,247,1,12491,4.99,"2005-08-18T12:48:45.000Z"
6696,247,1,12824,4.99,"2005-08-19T01:18:00.000Z"
6697,247,1,14041,4.99,"2005-08-20T21:45:23.000Z"
6698,247,1,15783,4.99,"2005-08-23T13:45:44.000Z"
6699,248,2,330,7.99,"2005-05-27T02:15:30.000Z"
6700,248,1,618,4.99,"2005-05-28T15:50:07.000Z"
6701,248,1,2066,3.99,"2005-06-17T16:07:08.000Z"
6702,248,2,2371,0.99,"2005-06-18T14:35:29.000Z"
6703,248,1,3910,0.99,"2005-07-06T20:05:18.000Z"
6704,248,2,4541,4.99,"2005-07-08T04:04:19.000Z"
6705,248,1,4841,0.99,"2005-07-08T18:18:23.000Z"
6706,248,1,5370,2.99,"2005-07-09T18:43:19.000Z"
6707,248,2,6617,2.99,"2005-07-12T08:39:56.000Z"
6708,248,2,7778,5.99,"2005-07-28T07:10:11.000Z"
6709,248,2,10418,4.99,"2005-08-01T08:11:07.000Z"
6710,248,1,12241,0.99,"2005-08-18T03:33:17.000Z"
6711,248,1,13918,0.99,"2005-08-20T16:47:32.000Z"
6712,248,2,14704,0.99,"2005-08-21T21:02:22.000Z"
6713,248,2,14885,5.99,"2005-08-22T03:58:29.000Z"
6714,249,2,316,4.99,"2005-05-26T23:22:55.000Z"
6715,249,2,400,2.99,"2005-05-27T12:51:44.000Z"
6716,249,1,438,6.99,"2005-05-27T17:52:34.000Z"
6717,249,1,597,3.99,"2005-05-28T14:01:02.000Z"
6718,249,1,1204,0.99,"2005-06-15T02:21:46.000Z"
6719,249,1,1473,5.99,"2005-06-15T20:55:20.000Z"
6720,249,2,1753,2.99,"2005-06-16T17:08:17.000Z"
6721,249,2,2129,1.99,"2005-06-17T20:58:32.000Z"
6722,249,2,3175,7.99,"2005-06-20T22:30:23.000Z"
6723,249,1,4352,9.99,"2005-07-07T19:15:58.000Z"
