"id","country_id","season","stage","date","hometeam_id","awayteam_id","home_goal","away_goal"
14365,13274,"2011/2012",27,"2012-03-24T00:00:00.000Z",9761,8464,1,1
14366,13274,"2011/2012",27,"2012-03-24T00:00:00.000Z",10228,9839,4,1
14367,13274,"2011/2012",27,"2012-03-24T00:00:00.000Z",10217,8611,1,1
14368,13274,"2011/2012",27,"2012-03-25T00:00:00.000Z",8593,8640,2,0
14369,13274,"2011/2012",27,"2012-03-25T00:00:00.000Z",8526,10235,0,3
14370,13274,"2011/2012",27,"2012-03-24T00:00:00.000Z",9803,8277,3,1
14371,13274,"2011/2012",27,"2012-03-23T00:00:00.000Z",10218,8674,0,1
14372,13274,"2011/2012",28,"2012-03-30T00:00:00.000Z",9908,10218,3,2
14373,13274,"2011/2012",28,"2012-03-31T00:00:00.000Z",8674,10228,1,3
14374,13274,"2011/2012",28,"2012-03-31T00:00:00.000Z",8640,9839,2,0
14375,13274,"2011/2012",28,"2012-03-31T00:00:00.000Z",8611,9803,2,0
14376,13274,"2011/2012",28,"2012-03-31T00:00:00.000Z",10235,9761,3,1
14377,13274,"2011/2012",28,"2012-04-01T00:00:00.000Z",8464,8526,2,0
14378,13274,"2011/2012",28,"2012-04-01T00:00:00.000Z",10219,10217,1,0
14379,13274,"2011/2012",28,"2012-04-01T00:00:00.000Z",8593,9791,6,0
14380,13274,"2011/2012",28,"2012-04-01T00:00:00.000Z",8277,10229,2,2
14381,13274,"2011/2012",29,"2012-04-11T00:00:00.000Z",9761,9791,1,2
14382,13274,"2011/2012",29,"2012-04-11T00:00:00.000Z",10228,8593,0,5
14383,13274,"2011/2012",29,"2012-04-10T00:00:00.000Z",10218,8464,0,2
14384,13274,"2011/2012",29,"2012-04-11T00:00:00.000Z",9803,10235,0,0
14385,13274,"2011/2012",29,"2012-04-11T00:00:00.000Z",10229,8611,2,2
14386,13274,"2011/2012",29,"2012-04-11T00:00:00.000Z",10219,8640,2,1
14387,13274,"2011/2012",29,"2012-04-12T00:00:00.000Z",8526,9908,3,0
14388,13274,"2011/2012",29,"2012-04-12T00:00:00.000Z",9839,8277,1,3
14389,13274,"2011/2012",29,"2012-04-12T00:00:00.000Z",10217,8674,3,0
14390,13274,"2011/2012",3,"2011-08-19T00:00:00.000Z",9803,10219,0,2
14391,13274,"2011/2012",3,"2011-08-20T00:00:00.000Z",8277,9908,2,1
14392,13274,"2011/2012",3,"2011-08-20T00:00:00.000Z",10228,8611,1,5
14393,13274,"2011/2012",3,"2011-08-20T00:00:00.000Z",10218,8526,1,1
14394,13274,"2011/2012",3,"2011-08-20T00:00:00.000Z",9761,8674,2,2
14395,13274,"2011/2012",3,"2011-08-21T00:00:00.000Z",9791,10235,1,1
14396,13274,"2011/2012",3,"2011-08-21T00:00:00.000Z",10229,8464,4,0
14397,13274,"2011/2012",3,"2011-08-21T00:00:00.000Z",9839,8593,2,2
14398,13274,"2011/2012",3,"2011-08-21T00:00:00.000Z",10217,8640,0,3
14399,13274,"2011/2012",30,"2012-04-14T00:00:00.000Z",8464,10228,2,4
14400,13274,"2011/2012",30,"2012-04-14T00:00:00.000Z",8640,10229,3,2
14401,13274,"2011/2012",30,"2012-04-14T00:00:00.000Z",8611,9761,2,2
14402,13274,"2011/2012",30,"2012-04-14T00:00:00.000Z",10235,10218,3,0
14403,13274,"2011/2012",30,"2012-04-15T00:00:00.000Z",8674,9803,0,1
14404,13274,"2011/2012",30,"2012-04-15T00:00:00.000Z",9791,10219,1,1
14405,13274,"2011/2012",30,"2012-04-15T00:00:00.000Z",8277,10217,1,0
14406,13274,"2011/2012",30,"2012-04-15T00:00:00.000Z",8593,8526,3,1
14407,13274,"2011/2012",30,"2012-04-15T00:00:00.000Z",9908,9839,4,2
14408,13274,"2011/2012",31,"2012-04-20T00:00:00.000Z",9761,9803,0,3
14409,13274,"2011/2012",31,"2012-04-21T00:00:00.000Z",10228,8277,1,1
14410,13274,"2011/2012",31,"2012-04-21T00:00:00.000Z",8526,9791,2,3
14411,13274,"2011/2012",31,"2012-04-21T00:00:00.000Z",10219,9908,0,2
14412,13274,"2011/2012",31,"2012-04-21T00:00:00.000Z",10218,8611,0,1
14413,13274,"2011/2012",31,"2012-04-22T00:00:00.000Z",10217,10235,1,2
14414,13274,"2011/2012",31,"2012-04-22T00:00:00.000Z",10229,9839,2,1
14415,13274,"2011/2012",31,"2012-04-22T00:00:00.000Z",8640,8464,2,1
14416,13274,"2011/2012",31,"2012-04-22T00:00:00.000Z",8593,8674,2,0
14417,13274,"2011/2012",32,"2012-04-27T00:00:00.000Z",8674,8526,1,1
14418,13274,"2011/2012",32,"2012-04-28T00:00:00.000Z",9791,10228,2,4
14419,13274,"2011/2012",32,"2012-04-28T00:00:00.000Z",8277,10218,3,2
14420,13274,"2011/2012",32,"2012-04-28T00:00:00.000Z",9839,10217,2,1
14421,13274,"2011/2012",32,"2012-04-28T00:00:00.000Z",9908,9761,1,3
14422,13274,"2011/2012",32,"2012-04-29T00:00:00.000Z",9803,8640,1,3
14423,13274,"2011/2012",32,"2012-04-29T00:00:00.000Z",8611,8593,1,2
14424,13274,"2011/2012",32,"2012-04-29T00:00:00.000Z",8464,10219,1,1
